Level,ID,SchoolName,Region,Division,Municipality,Excess,Shortage,SPED_Excess,SPED_Shortage,STR,Longitude,Latitude
ES,131456,Agyabao ES,CARAGA,Agusan del Norte,LAS NIEVES,0,2,0,0,30,125.6286031,8.7293552
ES,131457,Ambacon ES,CARAGA,Agusan del Norte,LAS NIEVES,0,1,0,0,27,125.6270922,8.713132
ES,131458,Bonifacio ES,CARAGA,Agusan del Norte,LAS NIEVES,0,1,0,0,24,125.6560796,8.7638185
ES,131459,Casiklan ES,CARAGA,Agusan del Norte,LAS NIEVES,4,0,0,0,20,125.4624731,8.7289352
ES,131460,Dalagangan ES,CARAGA,Agusan del Norte,LAS NIEVES,0,0,0,0,28,125.57161,8.69635
ES,131461,Durian ES,CARAGA,Agusan del Norte,LAS NIEVES,0,1,0,0,27,125.49261,8.71607
ES,131462,E. G. Montilla ES,CARAGA,Agusan del Norte,LAS NIEVES,0,1,0,0,28,125.6364403,8.7038716
ES,131463,Fatima ES,CARAGA,Agusan del Norte,LAS NIEVES,1,0,0,0,14,125.50842,8.73197
ES,131464,Ibuan ES,CARAGA,Agusan del Norte,LAS NIEVES,0,0,0,0,17,125.51649,8.7239
ES,131465,Kahayagan ES,CARAGA,Agusan del Norte,LAS NIEVES,2,0,0,0,14,125.5588191,8.7599057
ES,131466,Katipunan ES,CARAGA,Agusan del Norte,LAS NIEVES,0,0,0,0,22,125.6256634,8.7502244
ES,131467,Balungagan ES,CARAGA,Agusan del Norte,LAS NIEVES,0,0,0,0,22,125.54204,8.73256
ES,131468,Las Nieves CES,CARAGA,Agusan del Norte,LAS NIEVES,5,0,0,0,20,125.6026894,8.7318968
ES,131470,Lingayao ES,CARAGA,Agusan del Norte,LAS NIEVES,0,1,0,0,27,125.5844006,8.7456373
ES,131471,Malicato ES,CARAGA,Agusan del Norte,LAS NIEVES,0,2,0,0,24,125.614254,8.7377507
ES,131472,Maningalao ES,CARAGA,Agusan del Norte,LAS NIEVES,0,4,0,0,31,125.57278,8.72008
ES,131473,Marcos Calo ES,CARAGA,Agusan del Norte,LAS NIEVES,0,3,0,0,33,125.67115,8.74228
ES,131474,Mat-i CES,CARAGA,Agusan del Norte,LAS NIEVES,0,0,0,0,25,125.5913745,8.7101428
ES,131475,New Cana-an ES,CARAGA,Agusan del Norte,LAS NIEVES,0,0,0,0,18,125.43164,8.73935
ES,131476,Pinanaan ES,CARAGA,Agusan del Norte,LAS NIEVES,0,4,0,0,38,125.59994,8.70023
