REGION ,SDO,Kinder,Elementary,JHS,SHS                              (Proposed),SHS                              (Actual),TOTAL,Kinder,Elementary,JHS,SHS,TOTAL
REGION I,Ilocos Norte,0,4,19,23,23,46,0,4,19,23,46
REGION I,Ilocos Sur,0,16,25,50,50,91,0,16,25,50,91
REGION I,La Union,0,13,29,39,39,81,0,12,29,38,79
REGION I,"Pangasinan I, Lingayen",0,8,63,65,65,136,0,8,63,65,136
REGION I,"Pangasinan II, Binalonan",0,11,33,72,72,116,0,11,33,72,116
REGION I,Dagupan City,0,2,3,12,12,17,0,2,3,12,17
REGION I,Laoag City,0,0,2,7,7,9,0,0,2,7,9
REGION I,San Carlos City,0,5,6,11,11,22,0,5,6,11,22
REGION I,Urdaneta City,0,0,0,11,11,11,0,0,0,11,11
REGION I,Candon City,0,1,5,6,6,12,0,1,5,6,12
REGION I,Alaminos City,0,0,3,8,8,11,0,0,3,8,11
REGION I,Vigan City,0,0,1,9,9,10,0,0,1,9,10
REGION I,San Fernando City,0,2,1,7,7,10,0,2,1,7,10
REGION I,Batac City,0,1,0,2,2,3,0,1,0,2,3
REGION II,Batanes,0,1,1,0,0,2,0,1,1,0,2
REGION II,Cagayan,0,45,76,58,58,179,0,45,74,58,177
REGION II,Isabela,0,78,75,62,62,215,0,78,75,62,215
REGION II,Nueva Vizcaya,0,50,21,19,19,90,0,48,4,0,52
REGION II,Quirino,0,32,19,21,21,72,0,32,19,21,72
REGION II,Tuguegarao City,0,4,14,5,5,23,0,4,14,5,23
REGION II,Cauayan City,0,8,5,11,11,24,0,8,5,11,24
REGION II,Santiago City,0,2,4,7,7,13,0,2,4,7,13
REGION II,City of Ilagan,0,6,1,10,10,17,0,0,0,0,0
REGION III,Aurora,0,0,10,13,13,23,0,0,10,13,23
REGION III,Bataan,0,2,14,36,36,52,0,0,0,0,0
REGION III,Bulacan,0,8,82,60,60,150,0,8,82,58,148
REGION III,Nueva Ecija,0,95,93,67,67,255,0,95,93,66,254
REGION III,Pampanga,0,7,44,37,37,88,0,7,31,31,69
REGION III,Tarlac,0,6,30,43,43,79,0,6,30,43,79
REGION III,Zambales,0,1,32,45,45,78,0,0,0,0,0
REGION III,Angeles City,0,0,23,20,20,43,0,0,0,0,0
REGION III,Cabanatuan City,0,2,8,17,17,27,0,0,0,0,0
REGION III,Olongapo City,0,0,0,0,0,0,0,0,0,0,0
REGION III,City of San Jose Del Monte,0,4,21,23,23,48,0,4,21,23,48
REGION III,San Fernando City,0,1,16,24,24,41,0,1,16,24,41
REGION III,Gapan City,0,1,4,10,10,15,0,1,4,10,15
REGION III,Tarlac City,0,10,7,10,10,27,0,10,7,10,27
REGION III,Munoz Science City,0,0,0,5,5,5,0,0,0,5,5
REGION III,Balanga City,0,1,2,10,10,13,0,1,2,10,13
REGION III,Malolos City,0,3,8,14,14,25,0,3,8,14,25
REGION III,San Jose City,0,7,4,14,14,25,0,7,4,14,25
REGION III,Mabalacat City,0,0,1,0,0,1,0,0,0,0,0
REGION III,Meycauayan City,0,0,18,7,7,25,0,0,18,7,25
REGION V,Albay,0,6,30,21,21,57,0,6,27,20,53
REGION V,Camarines Norte,0,4,27,35,35,66,0,4,26,27,57
REGION V,Camarines Sur,0,26,68,36,36,130,0,26,68,35,129
REGION V,Catanduanes,0,3,5,15,15,23,0,3,5,15,23
REGION V,Masbate,0,1,37,45,45,83,0,1,36,44,81
REGION V,Sorsogon,0,0,24,36,36,60,0,0,24,36,60
REGION V,Iriga City,0,0,1,10,10,11,0,0,1,10,11
REGION V,Legaspi City,0,3,13,7,7,23,0,3,13,7,23
REGION V,Naga City,0,2,13,2,2,17,0,2,13,0,15
REGION V,Sorsogon City,0,0,16,18,18,34,0,0,16,18,34
REGION V,Tabaco City,0,0,21,15,15,36,0,0,21,15,36
REGION V,Ligao City,0,0,14,8,8,22,0,0,14,8,22
REGION V,Masbate City,0,0,2,6,6,8,0,0,0,6,6
REGION VI,Himamaylan City,0,1,19,0,0,20,0,1,19,0,20
REGION VI,Sipalay City,0,0,3,0,0,3,0,0,3,0,3
REGION VI,Aklan,0,2,40,10,10,52,0,2,40,10,52
REGION VI,Antique,0,9,27,36,36,72,0,8,24,28,60
REGION VI,Capiz,0,2,45,23,23,70,0,2,39,0,41
REGION VI,Guimaras,0,1,7,12,12,20,0,1,7,12,20
REGION VI,Iloilo,0,26,111,126,126,263,0,26,105,39,170
REGION VI,Negros Occidental,0,8,55,71,71,134,0,7,49,58,114
REGION VI,Bacolod City,0,6,14,29,29,49,0,6,14,29,49
REGION VI,Bago City,0,3,4,3,3,10,0,3,0,3,6
REGION VI,Cadiz City,0,0,5,11,11,16,0,0,5,10,15
REGION VI,Iloilo City,0,7,12,16,16,35,0,6,12,16,34
REGION VI,La Carlota City,0,0,3,0,0,3,0,0,3,0,3
REGION VI,Roxas City,0,1,19,5,5,25,0,1,18,5,24
REGION VI,Sagay City,0,0,16,5,5,21,0,0,16,5,21
REGION VI,San Carlos City,0,1,0,2,2,3,0,1,0,2,3
REGION VI,Silay City,0,4,4,10,10,18,0,4,3,4,11
REGION VI,Kabankalan City,0,1,1,15,15,17,0,1,1,15,17
REGION VI,Passi City,0,1,6,7,7,14,0,1,6,6,13
REGION VI,Escalante City,0,1,32,12,12,45,0,1,32,12,45
REGION VI,Victorias City,0,0,0,0,0,0,0,0,0,0,0
